time_s,phase,target_x,target_y,target_z,actual_x,actual_y,actual_z,target_force_n,measured_force_n,raw_wrench_0,raw_wrench_1,raw_wrench_2,raw_wrench_3,raw_wrench_4,raw_wrench_5,wrench_0,wrench_1,wrench_2,wrench_3,wrench_4,wrench_5,q_0,q_1,q_2,q_3,q_4,q_5,q_6,qd_0,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,contact,fault
1.0020000000000007,APPROACH,0.29998028906095164,-4.666481467956883e-05,0.34,0.29998018884098,-4.6731812909630564e-05,0.3400359432076476,0.0,1.6421017689216554e-05,-0.014813595410947695,-0.013851586086611582,-2.159697933055752,-0.00105911689762542,0.0012404051161703704,-8.541573163377942e-05,-0.01419920468713508,-0.013894431549616192,-0.001438778998072543,-0.001062391678488398,0.0011971359538093898,-8.540239733878989e-05,2.045752536389357,0.7095549307518685,-1.8765753219902286,-2.215989509330527,-0.9045925586881773,0.6595919954222452,-0.8265733663127487,0.0002989280451037085,-0.0013729899636699843,-0.0005945834173092166,-0.00024207444506367125,-0.0008580828857801415,0.0015250008453502246,-0.004991887918724152,0.046151072245447816,-12.183145190061742,5.970272189335964,5.28392346596887,0.10926431340273238,0.15208896419023818,-0.04550950165118375,0,
1.0040000000000007,APPROACH,0.29998028906095164,-4.666481467956883e-05,0.34,0.2999796007700557,-4.644602914123284e-05,0.34003603386268033,0.0,-0.0002455149851479001,-0.0033867848616809747,-0.003573274444922022,-2.156008674710549,-0.00026252012219871266,0.0002665017924245878,-3.0319656257661554e-05,-0.0027796341747221335,-0.0036199097782688944,0.002250480787232778,-0.0002657949030616906,0.00022323263006360713,-3.0306321962672022e-05,2.0457532867273103,0.7095523752727285,-1.8765765132885104,-2.215990076026796,-0.9045951992398683,0.659595276507411,-0.8265864964719317,0.00037516897662976225,-0.0012777395699913544,-0.0005956491409471145,-0.00028334813454449246,-0.0013202758454610288,0.0016405425828791803,-0.0065650795914933505,0.017259307290512057,-12.171000994550182,5.942904449041035,5.295889164062333,0.13436476103761413,0.14698218090976745,-0.020490024391101043,0,
1.0060000000000007,DESCEND,0.299979600775766,-4.644603095636775e-05,0.34003553577902484,0.2999789261985654,-4.608153880377544e-05,0.3400360844559107,0.0,0.00020376425388062195,2.7526635269610944e-05,-0.0008646025159143279,-2.158312037338984,-4.909983680559794e-05,-5.2381882273427644e-06,-1.1851148955782613e-05,0.0006263327720256963,-0.0009154956551993013,-5.288022070049081e-05,-5.237461766857589e-05,-4.8507350588323436e-05,-1.183781466079308e-05,2.045754066996942,0.7095499783482327,-1.8765775817473915,-2.2159906291130933,-0.9045977573596408,0.6595985258191586,-0.8266010921263842,0.00039013481573797135,-0.0011984622478985955,-0.0005342294405414909,-0.0002765431486914005,-0.0012790598862046187,0.0016246558737656905,-0.007297827226221793,0.007015947902865909,-12.176228013959086,5.944122456417834,5.310248089780186,0.14139593805107886,0.14604634907869724,-0.011080706891271174,0,
1.0080000000000007,DESCEND,0.2999796007928717,-4.6446036393709676e-05,0.34003404374053425,0.29997826284935114,-4.571471775192689e-05,0.34003613687329803,0.0,0.00015756824845602167,0.0009885621565634706,0.0001961473315686523,-2.1579431190604867,2.8821834269545893e-05,-8.622258186212816e-05,-4.287189778833606e-06,0.0015791499538236027,0.00014143887378453404,0.00031603961160886485,2.554705340656794e-05,-0.00012949174422310884,-4.273855483844072e-06,2.0457548643922174,0.7095477176722224,-1.8765785807456685,-2.215991170868679,-0.9045999516020404,0.6596016503756852,-0.8266164008172694,0.00039869763772420476,-0.0011303380052071882,-0.0004994991384618069,-0.0002708777929518042,-0.001097121199836189,0.00156227826329077,-0.007654345442582969,0.0027935655357470175,-12.17599302752478,5.940528006202089,5.312414063899007,0.14344339042795476,0.14557864151454558,-0.006975733004136151,0,
1.0100000000000007,DESCEND,0.2999796008213347,-4.644604544116446e-05,0.34003156106592264,0.2999776433902016,-4.536898792138253e-05,0.3400361845192215,0.0,0.00018609309382353344,0.0010513943872331956,0.0004985028770279636,-2.157774209014986,4.859384173764722e-05,-9.122019249685092e-05,-1.316031733344165e-06,0.0016344112999204402,0.00044056086971387004,0.00048495105344459333,4.531906087466927e-05,-0.0001344893548578316,-1.3026974383546312e-06,2.0457556750020656,0.7095455776629379,-1.8765795399700531,-2.2159917012875896,-0.9046017833154848,0.6596046482317697,-0.8266320646480368,0.0004053049239645134,-0.0010700046422168412,-0.0004796121922541454,-0.00026520945526511,-0.0009158567221775714,0.001498928042226472,-0.0078319153837103,0.001003167186578088,-12.176339270971619,5.938915814067501,5.313280813454602,0.1436071887676703,0.14555729942977697,-0.005054326784992312,0,
1.0120000000000007,DESCEND,0.29997960086111686,-4.64460580866379e-05,0.34002809107390397,0.299977069584419,-4.5048237399060865e-05,0.3400362243741275,0.0,0.00023988752655532423,0.0008814440359044293,0.0005782271313283618,-2.1575841368246667,5.1671428608762096e-05,-7.707412375545972e-05,1.1414204458713051e-08,0.0014575606997795092,0.0005175796666333776,0.0006750244881605916,4.839664774578414e-05,-0.0001203432861164404,2.4748499448246852e-08,2.0457565007036886,0.7095435468014014,-1.876580485740437,-2.21599222297511,-0.9046033208071492,0.6596075393172774,-0.8266478869861578,0.0004128508115869673,-0.0010154307682534124,-0.00047288519189244923,-0.00026084376011360777,-0.0007687458322072184,0.001445542753905651,-0.007911169060432401,0.00012902960113788395,-12.176549257454836,5.937761357077034,5.313401209985696,0.14328599899357353,0.1456345774903521,-0.004008945267994862,0,
1.0140000000000007,DESCEND,0.2999796009121802,-4.6446074318035825e-05,0.34002363708319217,0.29997653581113826,-4.4751040679756756e-05,0.3400362530181479,0.0,0.00031821217964427234,0.0006664386383391692,0.0006096627663229338,-2.1573183973016876,5.148260847742389e-05,-5.9730033769358104e-05,6.93754532135232e-07,0.0012362409983911072,0.000546741918864839,0.0009407651270181283,4.8207827614445936e-05,-0.00010299919613033877,7.070888271247658e-07,2.045757347498743,0.7095416164121616,-1.876581446761118,-2.2159927420191163,-0.9046046371657219,0.6596103482414415,-0.8266637470464433,0.00042339752726528986,-0.0009651946198903085,-0.00048051034049808293,-0.000259522003216144,-0.0006581792863607389,0.0014044620820078864,-0.007930030142749041,-0.00035691488553322195,-12.176453943806727,5.936602338783372,5.313025845256974,0.14289251587931875,0.14572869691681076,-0.0033666112682715524,0,
1.0160000000000007,DESCEND,0.29997960097448667,-4.6446094123264056e-05,0.3400182024125012,0.29997603560026437,-4.447521422222586e-05,0.34003626565454415,0.0,0.00043027171017156644,0.00045239750474760493,0.0006457348553561218,-2.156971053130086,5.202648366167193e-05,-4.30217802456149e-05,1.0872249041789267e-06,0.001016385529297192,0.0005808809889161712,0.0012881103073985045,4.875170279869398e-05,-8.629094260659558e-05,1.1005591991684605e-06,2.0457582245412365,0.7095397799565737,-1.876582455473461,-2.215993267778692,-0.9046057954893578,0.6596131008044185,-0.8266795650702441,0.00043852124657825915,-0.0009182277939432794,-0.0005043561715125307,-0.00026287978790046236,-0.0005791618179427526,0.0013762814884900685,-0.00790901190037303,-0.0006500758264623803,-12.17604664399969,5.935308945573459,5.312284754061843,0.14253208690593278,0.14582587172384556,-0.0029381895130856143,0,
1.0180000000000007,DESCEND,0.29997960104799826,-4.644611749022841e-05,0.3400117903805451,0.29997556315079915,-4.421911244558984e-05,0.34003625600613396,0.0,0.0005846826576724152,0.00024569479847392047,0.0006993630379064956,-2.1565487867984907,5.42065971562309e-05,-2.7409829257672033e-05,1.3307715386828919e-06,0.0008043044320832117,0.0006328403296852951,0.001710377556527476,5.0931816293252947e-05,-7.067899161865271e-05,1.3441058336724256e-06,2.0457591435192026,0.7095380325636828,-1.8765835481291075,-2.2159938124527225,-0.904606847877383,0.6596158237224912,-0.8266952859540355,0.00045948898314678764,-0.0008736964454638369,-0.0005463278233415499,-0.0002723370152040528,-0.0005261940125934833,0.0013614590363692752,-0.0078604418957372,-0.0008299238376022267,-12.175361351370372,5.933853748212961,5.311255235057161,0.1422187343138269,0.1459271858089618,-0.002636796018764771,0,
1.0200000000000007,DESCEND,0.29997960113267685,-4.644614440683471e-05,0.34000440430603773,0.29997511346222505,-4.398186287792274e-05,0.3400362164378681,0.0,0.0007873077394663262,4.324023846735209e-05,0.0007709928750532321,-2.1560603966398633,5.797684766581973e-05,-1.2561121331967203e-05,1.4860666516699909e-06,0.0005968658552727765,0.0007030048101374291,0.0021987685522608658,5.4702066802841774e-05,-5.5830283692947876e-05,1.4994009466595247e-06,2.0457601182320535,0.7095363707030925,-1.8765847645239826,-2.215994390661246,-0.9046078377626385,0.6596185448908041,-0.8267108703493384,0.0004873564255118159,-0.0008309302951050914,-0.0006081974374745683,-0.00028910426173839267,-0.0004949426277710351,0.0013605841564727722,-0.007792197651437914,-0.0009330465158167803,-12.174436300779698,5.932239608501855,5.309988694194338,0.1419427647756006,0.14603558250955587,-0.002416129935441225,0,
