time_s,phase,control_mode,target_x,target_y,target_z,actual_x,actual_y,actual_z,target_force_n,measured_force_n,raw_wrench_0,raw_wrench_1,raw_wrench_2,raw_wrench_3,raw_wrench_4,raw_wrench_5,wrench_0,wrench_1,wrench_2,wrench_3,wrench_4,wrench_5,q_0,q_1,q_2,q_3,q_4,q_5,q_6,qd_0,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,contact,fault
1.0020000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.3414264327614152,0.31545713263033504,2.9063009851941716e-07,0.3414675231852796,0.0,-2.27051555636848e-06,0.012158278818022799,-0.007347197989320433,-2.585381646786379,0.0003895795268805162,0.0006373374003304827,-2.0656702537321334e-08,-0.0034932336674452762,0.001786577807895119,0.010249916915780588,-0.0001260604291139057,-0.00024630196467282056,-2.010085775594794e-08,-8.310179630875383e-05,0.06286364973885093,7.627677604255496e-05,-1.6292075999500273,-1.5751175872334437,1.042154070454496,-1.5657994103778188,-1.7240834847744424e-06,-6.300392143303466e-06,7.522461979585672e-07,-0.0002403785208600689,-1.197828314883053e-05,2.0299620796160244e-06,2.839842988119251e-05,-3.145787461068666e-06,9.824992755238002,0.007618975064646271,10.013786013982438,-0.020229268950698754,-6.131123754866623e-05,0.0014154233708740442,0,
1.0040000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.3413149009817161,0.31545703893869853,2.9579556230624046e-07,0.34146736756651774,0.0,0.0018431232220842836,0.0036302274842756523,-0.003951950372763891,-2.5589606743366935,0.00014868148624120603,3.349338305732036e-05,6.582794997086083e-08,-0.012020391762386739,0.005181366131364795,0.03667089636839904,-0.00036695846975321584,-0.0008501459819459829,6.638379475223423e-08,-8.31218789059966e-05,0.06286359156458453,7.627990989581408e-05,-1.629209795952808,-1.57511773289728,1.0421540834446232,-1.5657989990100418,-1.0041298621387262e-05,-2.90871332007491e-05,1.5669266295597055e-06,-0.0010980013904151576,-7.28319181316144e-05,6.495063622941105e-06,0.00020568388848107332,-8.967055221884112e-05,9.730197927834524,0.00753362804612428,9.920398770108504,-0.02035781401303916,-7.393282662253009e-05,0.002281117691834147,0,
1.0060000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.3411505383590016,0.31545662864941426,3.386658341067269e-07,0.3414666566600809,0.0,0.00811212238842094,-0.006799244003055829,-0.0007662640765298354,-2.5229671759214223,-8.0391452625307e-05,-0.0007127865055888386,3.6291455430505575e-07,-0.02244582116636934,0.008365214669569387,0.07266442562033948,-0.0005960314086197289,-0.0015964258705921418,3.6347039908642915e-07,-8.318771644208151e-05,0.06286342414090416,7.628325903468358e-05,-1.6292153710332244,-1.575118288705956,1.0421541093664157,-1.5657975435639366,-3.2918768042455676e-05,-8.371184018466289e-05,1.6745694347504406e-06,-0.002787540208210614,-0.0002779043380418265,1.2960896251809294e-05,0.0007277230526032948,-0.0007035503204612743,9.598305892022912,0.006934922755892058,9.79332413077426,-0.02132421323828938,-9.575449571866899e-05,0.005259732533403726,0,
1.0080000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.3409509551742768,0.31545563623552403,4.802035174357402e-07,0.3414648459646811,0.0,0.019731536970166278,-0.01662948701966185,0.0018332822732192427,-2.483036511674699,-0.0002702545219107309,-0.0014278388809742858,7.980839758679255e-07,-0.03226596777602596,0.010960615138943704,0.11259516528765712,-0.0007858944779051528,-0.002311478245977589,7.986398206492988e-07,-8.334508038627965e-05,0.06286305545140926,7.628484286510154e-05,-1.6292261494323081,-1.575119813628001,1.0421541565321346,-1.56579397790282,-7.868197209906562e-05,-0.00018434474745233318,7.919152089821302e-07,-0.005389199541890651,-0.0007624610224097679,2.358285945657227e-05,0.0017828305583093347,-0.0022989013208181796,9.448408710457677,0.005385607108471585,9.652472241984487,-0.02390083252999094,-9.346851128934446e-05,0.010452774715435736,0,
1.0100000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.34073376170854697,0.31545380823126623,7.885188181775356e-07,0.3414613317410454,0.0,0.036446990067314625,-0.024103642193404513,0.003515477370561548,-2.4440411439680143,-0.0003968820691453816,-0.001988059897927859,1.2925016601907188e-06,-0.03972100940325306,0.012635529810411201,0.15159067362505052,-0.0009125220251398035,-0.002871699262931162,1.2930575049720922e-06,-8.365446190190534e-05,0.06286236948093843,7.628286572294496e-05,-1.6292438862662035,-1.5751231490109452,1.042154241577146,-1.5657869199461358,-0.00015469075781284725,-0.0003429852354134218,-9.885710782869511e-07,-0.008868416947666595,-0.0016676914721039,4.2522505738047886e-05,0.0035289783420491055,-0.005014460245048057,9.297679881098466,0.00275440525481904,9.515023999436794,-0.0283731569147237,-3.993190190846355e-05,0.017690981865129976,0,
1.0120000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.34051656824281706,0.31545094416740516,1.3249445811573246e-06,0.34145552476450536,0.0,0.05717285310770709,-0.028030406188265633,0.004062702987559385,-2.4102083023273093,-0.00044423606475079563,-0.0023079382572958884,1.7694330753179378e-06,-0.043617071334340805,0.013171718642926284,0.18542373844619808,-0.0009598760207452175,-0.0031915776222991915,1.7699889200993113e-06,-8.418700558426509e-05,0.06286123357699923,7.627617927783735e-05,-1.6292700720245292,-1.5751293809241866,1.0421543916481968,-1.5657747727737141,-0.0002662718411798736,-0.0005679519696005549,-3.343222553806241e-06,-0.013092879162891074,-0.0031159566207016104,7.503552537648102e-05,0.006073586210902303,-0.00877835226580267,9.16161874152081,-0.0008859293101617104,9.395857221683812,-0.03468841373901922,8.246774593404436e-05,0.02655933587416734,0,
1.0140000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.34031698505809227,0.315446925414355,2.1340504843679697e-06,0.3414469142581099,0.0,0.08025801246863548,-0.02766092258233159,0.0033411186738850976,-2.3852175299782647,-0.00040217085905996984,-0.0023318310298025215,2.1623066089937847e-06,-0.043203454287954815,0.012434996689402783,0.2104148281991316,-0.0009178108150543917,-0.003215470394805825,2.162862453775158e-06,-8.501893858099269e-05,0.06285950809013303,7.626451504160196e-05,-1.6293057656624774,-1.575139766063317,1.0421546445864853,-1.565755853792914,-0.0004159664983637981,-0.000862743433099705,-5.832118117693752e-06,-0.017846818974152266,-0.005192569565257634,0.00012646914430625167,0.009459490400074861,-0.013362410204739321,9.054252973237416,-0.00531161740228679,9.307903402579655,-0.04253241547381067,0.00028047189566284507,0.03645924264743788,0,
1.0160000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.3401526224353778,0.3154417345791899,3.2368648208505347e-06,0.341435123493708,0.0,0.10368623930012477,-0.022589407615481567,0.0012830986154965113,-2.372279508066257,-0.000265196360404092,-0.0020273210610159994,2.4168580813454713e-06,-0.03807350852887117,0.010357722416707352,0.22335326603738936,-0.0007808363163985139,-0.002910960426019303,2.4174139261268447e-06,-8.6224976389879e-05,0.0628570576996362,7.624855141995818e-05,-1.6293514518955747,-1.575155631825911,1.0421550472867827,-1.565728542668706,-0.0006030189044431599,-0.0012251952484139534,-7.981810821892487e-06,-0.022843116548639172,-0.007932881297017157,0.00020135014867049916,0.013655562103981191,-0.01842588105955218,8.988302473908412,-0.010190440711285316,9.262435222328044,-0.051393781230857735,0.0005505079577080918,0.04665483304358019,0,
1.0180000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.34004109065567867,0.31543546751924295,4.6265791196548234e-06,0.34141995826251387,0.0,0.1252263041128324,-0.012674153938740444,-0.0021275854907803525,-2.3742002524800543,-3.143980610965794e-05,-0.0013799374387494434,2.490814379538072e-06,-0.02808581589861666,0.0069240152172209265,0.22143303187801422,-0.0005470797621040798,-0.0022635768037527464,2.4913702243194453e-06,-8.78710769397071e-05,0.06285376394962486,7.622986433496973e-05,-1.6294069191298457,-1.575178258856493,1.0421556525438445,-1.5656914407203306,-0.0008230502749140498,-0.0016468750056758586,-9.343542494224127e-06,-0.02773361713544603,-0.011313515291072072,0.0003026285309379086,0.018550974187712864,-0.0235491707037708,8.975313382860808,-0.01511460380289596,9.269300143374767,-0.060614633603670906,0.0008800205823651762,0.05631018687677215,0,
1.0200000000000007,APPROACH,CARTESIAN_IMPEDANCE,0.31545713170649076,2.9049831398216973e-07,0.34,0.3154283396203856,6.266174360948616e-06,0.3414014491945865,0.0,0.14254351511056512,0.002025407737435876,-0.006867698303896331,-2.393433709471473,0.00029818828348772696,-0.00038894944561836543,2.352435668885049e-06,-0.01330137445842161,0.0021578429915083165,0.20220016618120606,-0.00021745167250669493,-0.0012725888106216686,2.3529915136664224e-06,-9.000683166828745e-05,0.06284953861366596,7.621079917683562e-05,-1.6294711551145842,-1.5752087525543357,1.0421565147383023,-1.5656435361079863,-0.0010678773642901756,-0.0021126679794499473,-9.532579067054386e-06,-0.032117992369237694,-0.01524684892128158,0.0004310972289378788,0.023952306172191712,-0.028260241664388508,9.02576892869969,-0.01962642900933632,9.337111099834317,-0.06943087258345104,0.0012490993915007182,0.06451902172230554,0,
